auction	rent_returned_sol	closed_by	signature
AGPaykioyo5MyU6KccVzvDUizXCdGtTwRuHBRMQp4Zrm	0.018328640	railway keeper	3HZ9c9oRaFQVv5U6dJdMxtAhdoLRSzES1NWi1b1mnk3gTMZdrETktuXL3XaJwWRcXcMbiL662rrmET5DxM5mLgu9
Aey3SvHqQYaQQjJ4uEeE9Mu5FCdxN2v6Ry3fJcTYv8X7	0.018328640	railway keeper	4HVed5X1P1X8a4ThaKrtYeEU82E56kuGmZnEmEjYbmv2LSKVD1wFCrPFprGWM8MLXWCBje3REdymxu9zwFB156TF
Ah7eZ6s1d9QPqjwJwsrW1iun5D7BZfB8hJkgkDphT6Tz	0.018328640	railway keeper	2YxBzvqkM2RgujqgPEUQTriMmT3Z9XKPufvsEr9CuvadaPckP5qjGo5W4MpwoQKFKywZwLCMfDuVppCrA643jcfx
B1ChZVh19Bnr1JAY7mDWXUiDwSfsSFdKwpx7nWSc3Jny	0.018328640	railway keeper	4AVWGdjDLRobdwDCCTxfAvjoisAfzTsaZB6FcxHfhZZy6zKoWu5iefC2qVhZ141UrPTt82mLkxbjd6mcUUfPGNLE
BAPrSL9g3rdEZv2TwddZ1gxzd55C3WALzsHGx3Vi3VNU	0.018328640	railway keeper	2Aj48ayKapuinPtchbh36ZF1m1U5pw8n2YuiuyszXgWgv26hFFdd6nBgLQkyBmx8aq9nQoznhxFjh6dCTvwaX39x
BGLMDM45GP1JyjAo9Njsf178j68TTzFpapCBaPvL1SLC	0.018328640	railway keeper	2j5m1kJWmUBPj54SQGWzxovashwL6vaGEpKofSDwG7N1ih8JruMQbi1W4cS33Hi9YGW8AZKSXqRyRSWAM7xFaxVF
BNYPdrDK1QjpTwkmkta5nPopMSNaCP4oaqBBRxPDBcJ2	0.018328640	recovery run	3sKQ12KcUk2zjupy6R81FkzCANEqoaY9JhWvGQFuHP56xhgSshyAccGUJXDZauHLBMVnxzYjggkrUNWhLbGCnHCp
Bwm2SZHRp8fnSq3pDL8u9KrsmNcyDBXrZMzuUzU1CsY3	0.018328640	railway keeper	r7XYNvmfqKpra7LZUQK3ArMtqV5J1hHe8eFxapYVZ3uGHk2HKtS8a9EAu7SuC4CWcxCGVdFDLn2RmpHhU1ThvNx
BzLQwK7rCfkBYV3xZwkqkFEMtvQBRaQVSTs6cNu3zbbf	0.018328640	railway keeper	3L7FQu4adECnHeixwmTUueaUsJJDce7wi6aSVVc7tPHr4ZRCWHruuPMrvMwQTEZGXSAUqRLmAj8G3pz7uYsaYADY
C3ZU1nm8KGYqeN6LXEEjHMydFYZaskG25eWdMTHNPg5r	0.018328640	railway keeper	59bKESgcpy5LxAPyEuLXHG4HfsnmzoGHyj6K2mBTdpqDNCZWwkcYoNXVaJ5q5AyotiixDCaiQETkmgAKTtZZtFZK
